Cluster_sseqid,Cluster_taxon,Human,Vertebrates,Plant,Realm,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Subfamily,Genus,Species,,SuperGroup,Taxon_set
UNI73393.1_Pseudomonas_phage_ER16_Pseudomonas_fluorescens_402,Cystoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Vidaverviricetes,Mindivirales,,Cystoviridae,,Cystovirus,,,Cysto,Riboviria|Orthornavirae|Duplornaviricota||Vidaverviricetes|Mindivirales||Cystoviridae||Cystovirus|
UBF42584.1_RNA_Cystovirus_CAP6_RNA_Acinetobacter_radioresistens_650,Cystoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Vidaverviricetes,Mindivirales,,Cystoviridae,,Cystovirus,,,Cysto,Riboviria|Orthornavirae|Duplornaviricota||Vidaverviricetes|Mindivirales||Cystoviridae||Cystovirus|
Cysto-like-NP_690823.1_Pseudomonas_phage_phi12,Cystoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Vidaverviricetes,Mindivirales,,Cystoviridae,,Cystovirus,Cystovirus phi12,,Cysto,Riboviria|Orthornavirae|Duplornaviricota||Vidaverviricetes|Mindivirales||Cystoviridae||Cystovirus|Cystovirus phi12
Cysto-like-NP_690817.1_Pseudomonas_phage_phi13,Cystoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Vidaverviricetes,Mindivirales,,Cystoviridae,,Cystovirus,Cystovirus phi13,,Cysto,Riboviria|Orthornavirae|Duplornaviricota||Vidaverviricetes|Mindivirales||Cystoviridae||Cystovirus|Cystovirus phi13
Cysto-like-YP_009618368.1_Pseudomonas_phage_phiNN,Cystoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Vidaverviricetes,Mindivirales,,Cystoviridae,,Cystovirus,Cystovirus phiNN,,Cysto,Riboviria|Orthornavirae|Duplornaviricota||Vidaverviricetes|Mindivirales||Cystoviridae||Cystovirus|Cystovirus phiNN
Cysto-like-YP_002600763.2_Pseudomonas_phage_phi2954,Cystoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Vidaverviricetes,Mindivirales,,Cystoviridae,,Cystovirus,Cystovirus phi2954,,Cysto,Riboviria|Orthornavirae|Duplornaviricota||Vidaverviricetes|Mindivirales||Cystoviridae||Cystovirus|Cystovirus phi2954
Cysto-like-NP_524561.1_Pseudomonas_phage_phi8,Cystoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Vidaverviricetes,Mindivirales,,Cystoviridae,,Cystovirus,Cystovirus phi8,,Cysto,Riboviria|Orthornavirae|Duplornaviricota||Vidaverviricetes|Mindivirales||Cystoviridae||Cystovirus|Cystovirus phi8
Cysto-like-YP_009618381.1_Pseudomonas_phage_phiYY,Cystoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Vidaverviricetes,Mindivirales,,Cystoviridae,,Cystovirus,Cystovirus phiYY,,Cysto,Riboviria|Orthornavirae|Duplornaviricota||Vidaverviricetes|Mindivirales||Cystoviridae||Cystovirus|Cystovirus phiYY
Cysto-like-NP_620346.1_Pseudomonas_virus_phi6,Cystoviridae,0,0,0,Riboviria,Orthornavirae,Duplornaviricota,,Vidaverviricetes,Mindivirales,,Cystoviridae,,Cystovirus,Cystovirus phi6,,Cysto,Riboviria|Orthornavirae|Duplornaviricota||Vidaverviricetes|Mindivirales||Cystoviridae||Cystovirus|Cystovirus phi6
