Cluster_sseqid,Cluster_taxon,Human,Vertebrates,Plant,Realm,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Subfamily,Genus,Species,,SuperGroup,Taxon_set
ACY56282_Quaranfil_virus,Quaranjavirus,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Insthoviricetes,Articulavirales,,Orthomyxoviridae,,Quaranjavirus,Quaranjavirus quaranfilense,,Negative_Orthomyxo,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Insthoviricetes|Articulavirales||Orthomyxoviridae||Quaranjavirus|Quaranjavirus quaranfilense
ACY56284_Johnston_Atoll_virus,Quaranjavirus,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Insthoviricetes,Articulavirales,,Orthomyxoviridae,,Quaranjavirus,Quaranjavirus johnstonense,,Negative_Orthomyxo,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Insthoviricetes|Articulavirales||Orthomyxoviridae||Quaranjavirus|Quaranjavirus johnstonense
BHTSS17872_Beihai_orthomyxo-like_virus_1_PB1,Quaranjavirus,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Insthoviricetes,Articulavirales,,Orthomyxoviridae,,Quaranjavirus,,,Negative_Orthomyxo,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Insthoviricetes|Articulavirales||Orthomyxoviridae||Quaranjavirus|
CC56639_Wuhan_Louse_Fly_Virus_3_KM817620,Quaranjavirus,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Insthoviricetes,Articulavirales,,Orthomyxoviridae,,Quaranjavirus,,,Negative_Orthomyxo,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Insthoviricetes|Articulavirales||Orthomyxoviridae||Quaranjavirus|
CC63432_Wuhan_Louse_Fly_Virus_4_KM817621,Quaranjavirus,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Insthoviricetes,Articulavirales,,Orthomyxoviridae,,Quaranjavirus,,,Negative_Orthomyxo,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Insthoviricetes|Articulavirales||Orthomyxoviridae||Quaranjavirus|
fly116939_Jingshan_Fly_Virus_1_PB1_KM817615,Quaranjavirus,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Insthoviricetes,Articulavirales,,Orthomyxoviridae,,Quaranjavirus,,,Negative_Orthomyxo,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Insthoviricetes|Articulavirales||Orthomyxoviridae||Quaranjavirus|
GCM19162_Hubei_earwig_virus_1_PB1,Quaranjavirus,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Insthoviricetes,Articulavirales,,Orthomyxoviridae,,Quaranjavirus,,,Negative_Orthomyxo,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Insthoviricetes|Articulavirales||Orthomyxoviridae||Quaranjavirus|
horsefly38597_Jiujie_Fly_Virus_KM817616_PB1,Quaranjavirus,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Insthoviricetes,Articulavirales,,Orthomyxoviridae,,Quaranjavirus,,,Negative_Orthomyxo,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Insthoviricetes|Articulavirales||Orthomyxoviridae||Quaranjavirus|
insectZJ68168_Shuangao_Insect_Virus_4_KM817619,Quaranjavirus,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Insthoviricetes,Articulavirales,,Orthomyxoviridae,,Quaranjavirus,,,Negative_Orthomyxo,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Insthoviricetes|Articulavirales||Orthomyxoviridae||Quaranjavirus|
mosHB230396_Wuhan_Mosquito_Virus_3_KM817622,Quaranjavirus,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Insthoviricetes,Articulavirales,,Orthomyxoviridae,,Quaranjavirus,,,Negative_Orthomyxo,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Insthoviricetes|Articulavirales||Orthomyxoviridae||Quaranjavirus|
mosHB231166_Wuhan_mosquito_virus_4_KM817623_PB1,Quaranjavirus,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Insthoviricetes,Articulavirales,,Orthomyxoviridae,,Quaranjavirus,,,Negative_Orthomyxo,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Insthoviricetes|Articulavirales||Orthomyxoviridae||Quaranjavirus|
mosHB231210_Wuhan_Mosquito_Virus_5_KM817624,Quaranjavirus,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Insthoviricetes,Articulavirales,,Orthomyxoviridae,,Quaranjavirus,,,Negative_Orthomyxo,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Insthoviricetes|Articulavirales||Orthomyxoviridae||Quaranjavirus|
mosHB234098_Wuhan_Mosquito_Virus_6_KM817625,Quaranjavirus,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Insthoviricetes,Articulavirales,,Orthomyxoviridae,,Quaranjavirus,,,Negative_Orthomyxo,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Insthoviricetes|Articulavirales||Orthomyxoviridae||Quaranjavirus|
mosHB235925_Wuhan_Mosquito_Virus_7_KM817626,Quaranjavirus,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Insthoviricetes,Articulavirales,,Orthomyxoviridae,,Quaranjavirus,,,Negative_Orthomyxo,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Insthoviricetes|Articulavirales||Orthomyxoviridae||Quaranjavirus|
QTM27225_Hubei_orthomyxo-like_virus_2_PB1,Quaranjavirus,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Insthoviricetes,Articulavirales,,Orthomyxoviridae,,Quaranjavirus,,,Negative_Orthomyxo,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Insthoviricetes|Articulavirales||Orthomyxoviridae||Quaranjavirus|
SCM47652_Hubei_orthomyxo-like_virus_1,Quaranjavirus,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Insthoviricetes,Articulavirales,,Orthomyxoviridae,,Quaranjavirus,,,Negative_Orthomyxo,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Insthoviricetes|Articulavirales||Orthomyxoviridae||Quaranjavirus|
spider138973_Shayang_Spider_Virus_3_PB1_KM817618,Quaranjavirus,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Insthoviricetes,Articulavirales,,Orthomyxoviridae,,Quaranjavirus,,,Negative_Orthomyxo,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Insthoviricetes|Articulavirales||Orthomyxoviridae||Quaranjavirus|
SXSSP2554_Sanxia_Water_Strider_Virus_3_PB1_KM817617,Quaranjavirus,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Insthoviricetes,Articulavirales,,Orthomyxoviridae,,Quaranjavirus,,,Negative_Orthomyxo,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Insthoviricetes|Articulavirales||Orthomyxoviridae||Quaranjavirus|
WHCCII12658_Wuhan_Mothfly_Virus_KM817627,Quaranjavirus,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Insthoviricetes,Articulavirales,,Orthomyxoviridae,,Quaranjavirus,,,Negative_Orthomyxo,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Insthoviricetes|Articulavirales||Orthomyxoviridae||Quaranjavirus|
YP_009110686_Wellfleet_Bay_virus,Quaranjavirus,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Insthoviricetes,Articulavirales,,Orthomyxoviridae,,Quaranjavirus,Quaranjavirus wellfleetense,,Negative_Orthomyxo,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Insthoviricetes|Articulavirales||Orthomyxoviridae||Quaranjavirus|Quaranjavirus wellfleetense
AAA42968_Dhori_virus,Thogotovirus,1,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Insthoviricetes,Articulavirales,,Orthomyxoviridae,,Thogotovirus,Thogotovirus dhoriense,,Negative_Orthomyxo,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Insthoviricetes|Articulavirales||Orthomyxoviridae||Thogotovirus|Thogotovirus dhoriense
AAC25959_Thogoto_virus,Thogotovirus,1,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Insthoviricetes,Articulavirales,,Orthomyxoviridae,,Thogotovirus,Thogotovirus thogotoense,,Negative_Orthomyxo,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Insthoviricetes|Articulavirales||Orthomyxoviridae||Thogotovirus|Thogotovirus thogotoense
AED98371_Jos_virus,Thogotovirus,0,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Insthoviricetes,Articulavirales,,Orthomyxoviridae,,Thogotovirus,Thogotovirus josense,,Negative_Orthomyxo,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Insthoviricetes|Articulavirales||Orthomyxoviridae||Thogotovirus|Thogotovirus josense
SCM51211_Hubei_orthomyxo-like_virus_4,Thogotovirus,0,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Insthoviricetes,Articulavirales,,Orthomyxoviridae,,Thogotovirus,,,Negative_Orthomyxo,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Insthoviricetes|Articulavirales||Orthomyxoviridae||Thogotovirus|
ZCM21154_Hubei_orthoptera_virus_6_PB1,Thogotovirus,0,1,0,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Insthoviricetes,Articulavirales,,Orthomyxoviridae,,Thogotovirus,,,Negative_Orthomyxo,Riboviria|Orthornavirae|Negarnaviricota|Polyploviricotina|Insthoviricetes|Articulavirales||Orthomyxoviridae||Thogotovirus|
