Cluster_sseqid,Cluster_taxon,Human,Vertebrates,Plant,Realm,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Subfamily,Genus,Species,,SuperGroup,Taxon_set
UQZ09611.1_Freshwater_macrophyte_associated_yue-like_virus_1___2124,Yuevirus,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Yunchangviricetes,Goujianvirales,,Yueviridae,,Yuyuevirus,,,Yuevirus,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Yunchangviricetes|Goujianvirales||Yueviridae||Yuyuevirus|
mono-chu-like_YP_009337854.1_Shahe_yuevirus-like_virus_1,Yuevirus,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Yunchangviricetes,Goujianvirales,,Yueviridae,,Yuyuevirus,Yuyuevirus shaheense,,Yuevirus,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Yunchangviricetes|Goujianvirales||Yueviridae||Yuyuevirus|Yuyuevirus shaheense
mono-chu-like_QIP68011.1_Bremia_lactucae_associated_yuevirus-like_virus_1,Yuevirus,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Yunchangviricetes,Goujianvirales,,Yueviridae,,Yuyuevirus,,,Yuevirus,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Yunchangviricetes|Goujianvirales||Yueviridae||Yuyuevirus|
other-negative-like_yuevirus_SCJXSX39048_Beihai_sesarmid_crab_virus_3_RdRp_len6878,Yuevirus,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Yunchangviricetes,Goujianvirales,,Yueviridae,,Yuyuevirus,Yuyuevirus beihaiense,,Yuevirus,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Yunchangviricetes|Goujianvirales||Yueviridae||Yuyuevirus|Yuyuevirus beihaiense
other-negative-like_yuevirus_SHWC0209c11789_Shahe_yuevirus-like_virus_1_RdRp_len6578,Yuevirus,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Yunchangviricetes,Goujianvirales,,Yueviridae,,Yuyuevirus,Yuyuevirus shaheense,,Yuevirus,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Yunchangviricetes|Goujianvirales||Yueviridae||Yuyuevirus|Yuyuevirus shaheense
