Cluster_sseqid,Cluster_taxon,Human,Vertebrates,Plant,Realm,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Subfamily,Genus,Species,,SuperGroup,Taxon_set
other-negative-like_YP_009345119.1_Xinzhou_nematode_virus_3,other-negative,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Chunqiuviricetes,Muvirales,,Qinviridae,,Yingvirus,Yingvirus xinzhouense,,other-negative,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Chunqiuviricetes|Muvirales||Qinviridae||Yingvirus|Yingvirus xinzhouense
other-negative-like_QGA70948.1_Vittskovle_virus,other-negative,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Chunqiuviricetes,Muvirales,,Qinviridae,,,,,other-negative,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Chunqiuviricetes|Muvirales||Qinviridae|||
other-negative-like_QGA70924.1_Vinslov_virus,other-negative,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Chunqiuviricetes,Muvirales,,Qinviridae,,,,,other-negative,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Chunqiuviricetes|Muvirales||Qinviridae|||
other-negative-like_QGA70919.1_Nackenback_virus,other-negative,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Chunqiuviricetes,Muvirales,,Qinviridae,,,,,other-negative,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Chunqiuviricetes|Muvirales||Qinviridae|||
other-negative-like_QGA70917.1_Gran_virus,other-negative,0,0,0,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Chunqiuviricetes,Muvirales,,Qinviridae,,,,,other-negative,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Chunqiuviricetes|Muvirales||Qinviridae|||
