TAXON,RdRP_super_group,Realm,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Subfamily,Genus,Species,Taxon_set
Roniviridae,Nido,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Ronidovirineae,Roniviridae,,,,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Ronidovirineae|Roniviridae|||
Tobaniviridae,Nido,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Tornidovirineae,Tobaniviridae,,,,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Tornidovirineae|Tobaniviridae|||
other-negative,other-negative,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Chunqiuviricetes,Muvirales,,Qinviridae,,,,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Chunqiuviricetes|Muvirales||Qinviridae|||
Partiti-Picobirna,Partiti-Picobirna,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,,,,,Riboviria|Orthornavirae|Pisuviricota||Duplopiviricetes|Durnavirales|||||
Partitiviridae,Partiti-Picobirna,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,Partitiviridae,,,,Riboviria|Orthornavirae|Pisuviricota||Duplopiviricetes|Durnavirales||Partitiviridae|||
Partitiviridae_Deltapartitivirus,Partiti-Picobirna,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,Partitiviridae,,Deltapartitivirus,,Riboviria|Orthornavirae|Pisuviricota||Duplopiviricetes|Durnavirales||Partitiviridae||Deltapartitivirus|
Partitiviridae_Gammapartitivirus,Partiti-Picobirna,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,Partitiviridae,,Gammapartitivirus,,Riboviria|Orthornavirae|Pisuviricota||Duplopiviricetes|Durnavirales||Partitiviridae||Gammapartitivirus|
Picobirnaviridae,Partiti-Picobirna,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,Picobirnaviridae,,,,Riboviria|Orthornavirae|Pisuviricota||Duplopiviricetes|Durnavirales||Picobirnaviridae|||
Caliciviridae,Picorna-Calici,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Picornavirales,,Caliciviridae,,,,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Picornavirales||Caliciviridae|||
Dicistroviridae,Picorna-Calici,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Picornavirales,,Dicistroviridae,,,,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Picornavirales||Dicistroviridae|||
Iflaviridae,Picorna-Calici,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Picornavirales,,Iflaviridae,,,,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Picornavirales||Iflaviridae|||
Marnaviridae,Picorna-Calici,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Picornavirales,,Marnaviridae,,,,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Picornavirales||Marnaviridae|||
Picorna-Calici,Picorna-Calici,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Picornavirales,,,,,,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Picornavirales|||||
Picornaviridae,Picorna-Calici,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Picornavirales,,Picornaviridae,,,,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Picornavirales||Picornaviridae|||
Polycipiviridae,Picorna-Calici,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Picornavirales,,Polycipiviridae,,,,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Picornavirales||Polycipiviridae|||
Secoviridae,Picorna-Calici,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Picornavirales,,Secoviridae,,,,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Picornavirales||Secoviridae|||
Qinvirus,Qinvirus,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Chunqiuviricetes,Muvirales,,Qinviridae,,,,Riboviria|Orthornavirae|Negarnaviricota|Haploviricotina|Chunqiuviricetes|Muvirales||Qinviridae|||
Aquareovirus,Reo,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Spinareoviridae,,Aquareovirus,,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Spinareoviridae||Aquareovirus|
Coltivirus,Reo,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Spinareoviridae,,Coltivirus,,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Spinareoviridae||Coltivirus|
Cypovirus,Reo,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Spinareoviridae,,Cypovirus,,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Spinareoviridae||Cypovirus|
Dinovernavirus,Reo,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Spinareoviridae,,Dinovernavirus,,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Spinareoviridae||Dinovernavirus|
Fijivirus,Reo,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Spinareoviridae,,Fijivirus,,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Spinareoviridae||Fijivirus|
Mimoreovirus,Reo,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Sedoreoviridae,,Mimoreovirus,,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Sedoreoviridae||Mimoreovirus|
Mycoreovirus,Reo,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Spinareoviridae,,Mycoreovirus,,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Spinareoviridae||Mycoreovirus|
Orbivirus,Reo,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Sedoreoviridae,,Orbivirus,,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Sedoreoviridae||Orbivirus|
Orthoreovirus,Reo,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Spinareoviridae,,Orthoreovirus,,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Spinareoviridae||Orthoreovirus|
Oryzavirus,Reo,Riboviria,Orthornavirae,Duplornaviricota,,Resentoviricetes,Reovirales,,Spinareoviridae,,Oryzavirus,,Riboviria|Orthornavirae|Duplornaviricota||Resentoviricetes|Reovirales||Spinareoviridae||Oryzavirus|
