Cluster_sseqid,Cluster_taxon,Human,Vertebrates,Plant,Realm,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Subfamily,Genus,Species,,SuperGroup,Taxon_set
NC_003436_Porcine_epidemic_diarrhea_virus,Coronaviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Cornidovirineae,Coronaviridae,Orthocoronavirinae,Alphacoronavirus,Porcine epidemic diarrhea virus,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Gammacoronavirus|Avian coronavirus 9203
NC_005831_Human_coronavirus_NL63,Coronaviridae,1,0,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Cornidovirineae,Coronaviridae,Orthocoronavirinae,Alphacoronavirus,Human coronavirus NL63,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Alphacoronavirus|Feline infectious peritonitis virus
NC_010438_Bat_coronavirus_HKU8,Coronaviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Cornidovirineae,Coronaviridae,Orthocoronavirinae,Alphacoronavirus,Miniopterus bat coronavirus HKU8,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Alphacoronavirus|Porcine epidemic diarrhea virus
NP_073549_Human_coronavirus_229E,Coronaviridae,1,0,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Cornidovirineae,Coronaviridae,Orthocoronavirinae,Alphacoronavirus,Human coronavirus 229E,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Severe acute respiratory syndrome-related coronavirus
YP_009755838.1_Shrew_coronavirus_6381,Coronaviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Cornidovirineae,Coronaviridae,Orthocoronavirinae,Alphacoronavirus,Sorex araneus coronavirus T14,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Alphacoronavirus|Human coronavirus NL63
YP_009755889.1_Alphacoronavirus_Bat-CoV/P.kuhlii/Italy/3398-19/2015_6631,Coronaviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Cornidovirineae,Coronaviridae,Orthocoronavirinae,Alphacoronavirus,Pipistrellus kuhlii coronavirus 3398,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Human coronavirus HKU1
NC_004718_SARS_coronavirus,Coronaviridae,1,1,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Cornidovirineae,Coronaviridae,Orthocoronavirinae,Betacoronavirus,Severe acute respiratory syndrome-related coronavirus,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Alphacoronavirus|Miniopterus bat coronavirus HKU8
NC_006577_Human_coronavirus_HKU1,Coronaviridae,1,1,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Cornidovirineae,Coronaviridae,Orthocoronavirinae,Betacoronavirus,Human coronavirus HKU1,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Gammacoronavirus|Beluga whale coronavirus SW1
NC_019843_Middle_East_respiratory_syndrome_coronavirus,Coronaviridae,1,1,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Cornidovirineae,Coronaviridae,Orthocoronavirinae,Betacoronavirus,Middle East respiratory syndrome-related coronavirus,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Deltacoronavirus|Sparrow coronavirus HKU17
UVF62111.1_Bat_faecal_coronavirus_Pteropus_poliocephalus_6879,Coronaviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Nidovirales,Cornidovirineae,Coronaviridae,Orthocoronavirinae,Betacoronavirus,,,Nido,Riboviria|Orthornavirae|Pisuviricota||Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Deltacoronavirus|Wigeon coronavirus HKU20
