Cluster_sseqid,Cluster_taxon,Human,Vertebrates,Plant,Realm,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Subfamily,Genus,Species,,SuperGroup,Taxon_set
positive-yanvirus-like_YP_009337285.1_Wenzhou_bivalvia_virus_2,Yanvirus,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,Yanvirus,Riboviria|Orthornavirae|||||||||
positive-yanvirus-like_YP_009337303.1_Shahe_isopoda_virus_3,Yanvirus,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,Yanvirus,Riboviria|Orthornavirae|||||||||
positive-yanvirus-like_YP_009337316.1_Hubei_yanvirus-like_virus_1,Yanvirus,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,Yanvirus,Riboviria|Orthornavirae|||||||||
positive-yanvirus-like_YP_009342252.1_Wenzhou_yanvirus-like_virus_2,Yanvirus,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,Yanvirus,Riboviria|Orthornavirae|||||||||
positive-yanvirus-like_YP_009342261.1_Wenzhou_yanvirus-like_virus_1,Yanvirus,0,0,0,Riboviria,Orthornavirae,,,,,,,,,,,Yanvirus,Riboviria|Orthornavirae|||||||||
