Cluster_sseqid,Cluster_taxon,Human,Vertebrates,Plant,Realm,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Subfamily,Genus,Species,,SuperGroup,Taxon_set
Jawless_QSMC2427_Dongbei_arctic_lamprey_astrovirus_3_6555bp,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
Jawless_QSMS17426_Dongbei_arctic_lamprey_astrovirus_4_7513bp,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
Jawless_QSMS18873_Dongbei_arctic_lamprey_astrovirus_2_7642bp,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
Lungfish_FZFYG149406_Western_African_lungfish_astro-like_virus_13169bp,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
QBZ38214.1_European_roller_astrovirus_Coracias_garrulus_401,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
QCO31422.1_Passerine_astrovirus_1,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
Rayfin_BHFishC188159_Beihai_mudskipper_astro-like_virus_10377bp,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
Rayfin_DSYS1394_Wuhan_japanese_halfbeak_astrovirus_3611bp,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
Rayfin_DSYS3171_Wuhan_astro-like_virus_9129bp,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
Rayfin_GDDSYS282_Guangdong_catfish_astro-like_virus_9512bp,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
Rayfin_LXMC182963_Beihai_cephalopholis_spiloparaea_astrovirus_6092bp,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
Rayfin_XDXMC10209_Wenling_plagiopsetta_astrovirus_6656bp,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
Rayfin_XDXMC21452_Wenling_crossorhombus_astrovirus_2_6973bp,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
Rayfin_XLXMC35036_Wenling_yellow-striped_sandperch_astrovirus_7417bp,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
Rayfin_XLXMS83193_Wenling_gobies_fish_astro-like_virus_11033bp,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
Rayfin_XQTMC49337_Wenling_longspine_snipefish_astrovirus_7199bp,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
Rayfin_XQTMC51418_Wenling_bighead_beaked_sandfish_astrovirus_6336bp,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
Rayfin_XYHYC190343_Wenling_rattails_astrovirus_5_6822bp,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
Rayfin_XYHYC191403_Wenling_rattails_astrovirus_1_7538bp,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
Rayfin_XYHYC192174_Wenling_rattails_astrovirus_4_7198bp,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
Rayfin_XYXMC57263_Yancheng_grey_stingfish_astrovirus_6774bp,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
Rayfin_YXMC112999_Wenling_pterygotrigla_hemisticta_astrovirus_6230bp,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
Rayfin_YXMC64648_Wenling_lepidotrigla_astrovirus_7426bp,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
Reptile_GXSXC128985_Guangxi_changeable_lizard_astrovirus_7832bp,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
Reptile_LPSF9635_Guangdong_chinese_water_snake_astrovirus_6919bp,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
Reptile_LPWC210211_Yili_teratoscincus_roborowskii_astrovirus_7632bp,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
Reptile_LPXYC174317_Hainan_oriental_leaf-toed_gecko_astrovirus_1_7126bp,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
Reptile_LPXYC178500_Hainan_oriental_leaf-toed_gecko_astrovirus_2_4327bp,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
Reptile_LPXYF118785_Hainan_astro-like_virus_1_13532bp,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
Reptile_WHWGC149849_Chinese_broad-headed_pond_turtle_astro-like_virus_9296bp,Astroviridae,0,1,0,Riboviria,Orthornavirae,Pisuviricota,,Stelpaviricetes,Stellavirales,,Astroviridae,,,,,Astro-poty,Riboviria|Orthornavirae|Pisuviricota||Stelpaviricetes|Stellavirales||Astroviridae|||
